,year,month,day,min_temp,max_temp,avg_temp,min_humidity,max_humidity,avg_humidity,min_uv_vis,max_uv_vis,avg_uv_vis,min_pressure,max_pressure,avg_pressure,min_wind_spd,max_wind_spd,avg_wind_spd,mode_wind_dir,avg_temp_future,max_temp_future,min_temp_future,avg_humidity_future,max_humidity_future,min_humidity_future,avg_pressure_future,max_pressure_future,min_pressure_future,mode_sky_desc_Cloudy,mode_sky_desc_Drizzle and Fog,mode_sky_desc_Fair,mode_sky_desc_Fair / Windy,mode_sky_desc_Fog,mode_sky_desc_Heavy Rain / Windy,mode_sky_desc_Light Drizzle,mode_sky_desc_Light Rain,mode_sky_desc_Light Snow,mode_sky_desc_Mostly Cloudy,mode_sky_desc_Mostly Cloudy / Windy,mode_sky_desc_Partly Cloudy,mode_sky_desc_Rain,mode_sky_desc_Smoke,mode_sky_desc_Wintry Mix
0,2015,1,1,32,57,44.166666666666664,29,79,57.791666666666664,10.0,10.0,10.0,29.15,29.25,29.20375,0.0,8.0,4.375,330.0,21.75,32,11,40.916666666666664,61,23,29.37708333333333,29.47,29.23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2015,1,2,44,49,46.93939393939394,76,93,88.36363636363636,1.0,10.0,5.96969696969697,29.15,29.22,29.17939393939394,0.0,12.0,4.818181818181818,40.0,30.958333333333332,41,22,41.875,53,28,29.21166666666667,29.26,29.17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2015,1,3,48,61,51.457142857142856,86,100,94.34285714285714,0.5,10.0,1.9142857142857144,28.98,29.17,29.088857142857144,5.0,12.0,8.2,110.0,33.375,46,21,35.791666666666664,48,21,29.34583333333333,29.41,29.27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2015,1,4,44,66,59.40425531914894,47,100,85.19148936170212,0.5,10.0,6.659574468085107,28.92,29.22,29.004680851063835,5.0,23.0,10.659574468085106,200.0,37.71875,45,29,58.28125,93,36,29.345937499999998,29.41,29.26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2015,1,5,34,48,41.17857142857143,32,76,58.107142857142854,10.0,10.0,10.0,29.23,29.42,29.31071428571428,5.0,22.0,12.642857142857142,330.0,43.75,48,39,95.75,100,87,29.13136363636363,29.23,29.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,2015,1,6,30,53,41.833333333333336,31,75,53.25,10.0,10.0,10.0,29.12,29.27,29.187916666666666,0.0,20.0,8.666666666666666,300.0,44.44444444444444,49,41,93.18518518518519,97,89,29.13185185185185,29.19,29.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,2015,1,7,16,39,31.541666666666668,40,69,51.875,10.0,10.0,10.0,29.11,29.46,29.217916666666667,5.0,31.0,18.625,320.0,40.5,44,37,85.8529411764706,93,73,29.13823529411765,29.19,29.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,2015,1,8,11,32,21.75,23,61,40.916666666666664,10.0,10.0,10.0,29.23,29.47,29.37708333333333,0.0,17.0,7.541666666666667,350.0,36.116279069767444,38,33,90.74418604651163,93,86,29.06209302325581,29.12,29.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,2015,1,9,22,41,30.958333333333332,28,53,41.875,10.0,10.0,10.0,29.17,29.26,29.21166666666667,0.0,14.0,8.25,270.0,40.42857142857143,53,32,67.35714285714286,89,35,29.068214285714287,29.12,29.04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,2015,1,10,21,46,33.375,21,48,35.791666666666664,10.0,10.0,10.0,29.27,29.41,29.34583333333333,0.0,15.0,7.083333333333333,340.0,45.0,59,32,59.458333333333336,85,29,29.092083333333335,29.17,29.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
