,Unnamed: 0,year,month,day,min_temp,max_temp,avg_temp,min_humidity,max_humidity,avg_humidity,min_uv_vis,max_uv_vis,avg_uv_vis,min_pressure,max_pressure,avg_pressure,min_wind_spd,max_wind_spd,avg_wind_spd,mode_wind_dir,mode_sky_desc
0,0,2015,1,1,28.0,53.0,41.583333333333336,38.0,88.0,63.375,8.0,10.0,9.75,29.41,29.54,29.470416666666665,0.0,9.0,4.083333333333333,210.0,Partly Cloudy
11,0,2015,1,2,43.0,51.0,47.481481481481474,50.0,93.0,71.81481481481481,7.0,10.0,9.629629629629632,29.42,29.55,29.485555555555553,0.0,8.0,2.6296296296296298,160.0,Cloudy
22,0,2015,1,3,46.0,52.0,49.33333333333334,83.0,96.0,89.03030303030305,0.75,10.0,4.636363636363637,29.33,29.57,29.471212121212126,0.0,7.0,3.1515151515151514,10.0,Cloudy
25,0,2015,1,4,47.0,65.0,55.555555555555564,52.0,97.0,84.33333333333333,0.25,10.0,5.888888888888888,29.14,29.35,29.2575,0.0,16.0,8.305555555555555,210.0,Cloudy
26,0,2015,1,5,36.0,52.0,44.29166666666666,23.0,68.0,46.45833333333334,10.0,10.0,10.0,29.37,29.62,29.54166666666667,0.0,12.0,6.25,320.0,Partly Cloudy
27,0,2015,1,6,26.0,57.0,41.083333333333336,25.0,78.0,49.54166666666666,10.0,10.0,10.0,29.29,29.57,29.40208333333333,0.0,12.0,5.0,250.0,Fair
28,0,2015,1,7,16.0,41.0,31.29166666666667,30.0,78.0,46.83333333333334,10.0,10.0,10.0,29.28,29.71,29.40375,0.0,22.0,10.208333333333334,340.0,Fair
29,0,2015,1,8,10.0,27.0,18.95833333333333,23.0,53.0,37.16666666666666,10.0,10.0,10.0,29.52,29.8,29.69333333333333,0.0,13.0,5.583333333333332,180.0,Fair
30,0,2015,1,9,25.0,45.0,32.5,19.0,41.0,31.23076923076923,10.0,10.0,10.0,29.36,29.51,29.425769230769234,0.0,16.0,8.5,220.0,Fair
1,0,2015,1,10,20.0,41.0,30.91666666666667,16.0,60.0,34.666666666666664,10.0,10.0,10.0,29.51,29.76,29.67875,0.0,9.0,3.7916666666666665,40.0,Fair
2,0,2015,1,11,17.0,46.0,36.032258064516135,20.0,89.0,52.032258064516135,6.0,10.0,9.774193548387096,29.64,29.81,29.719677419354838,0.0,8.0,3.161290322580645,360.0,Cloudy
3,0,2015,1,12,37.0,45.0,41.24,87.0,96.0,91.1,0.12,9.0,2.6674,29.34,29.63,29.445799999999995,0.0,13.0,3.98,10.0,Fog
