,Unnamed: 0,year,month,day,min_temp,max_temp,avg_temp,min_humidity,max_humidity,avg_humidity,min_uv_vis,max_uv_vis,avg_uv_vis,min_pressure,max_pressure,avg_pressure,min_wind_spd,max_wind_spd,avg_wind_spd,mode_wind_dir,mode_sky_desc
0,0,2015,1,1,27,46,36.64,28,64,45.36,10.0,10.0,10.0,30.06,30.24,30.148,3.0,15.0,8.16,200.0,Fair
11,0,2015,1,2,35,49,41.41666666666666,32,70,52.54166666666666,10.0,10.0,10.0,30.11,30.42,30.27958333333333,0.0,9.0,2.7916666666666665,350.0,Cloudy
22,0,2015,1,3,35,43,40.31034482758621,60,93,81.56896551724137,0.5,10.0,4.086206896551723,30.1,30.5,30.298793103448272,0.0,8.0,3.5172413793103448,40.0,Light Rain
25,0,2015,1,4,42,66,53.33333333333334,45,86,75.1794871794872,2.0,10.0,8.051282051282051,29.71,30.09,29.884615384615387,5.0,26.0,12.923076923076925,190.0,Cloudy
26,0,2015,1,5,30,50,39.29166666666666,20,48,33.458333333333336,10.0,10.0,10.0,29.98,30.46,30.27958333333333,8.0,22.0,14.375,310.0,Mostly Cloudy
27,0,2015,1,6,24,31,26.76595744680851,35,81,67.91489361702128,0.25,10.0,5.0585106382978715,30.1,30.41,30.28106382978724,0.0,10.0,4.6382978723404245,110.0,Light Snow
28,0,2015,1,7,15,30,23.8,29,69,45.72,10.0,10.0,10.0,30.01,30.47,30.1916,5.0,23.0,15.52,310.0,Mostly Cloudy
29,0,2015,1,8,12,26,19.166666666666668,29,42,36.083333333333336,10.0,10.0,10.0,30.2,30.59,30.455,7.0,22.0,11.333333333333336,190.0,Fair
30,0,2015,1,9,27,41,32.07692307692308,25,41,34.615384615384606,10.0,10.0,10.0,30.02,30.3,30.125,0.0,23.0,13.115384615384615,200.0,Fair
1,0,2015,1,10,19,30,24.70833333333333,22,42,33.541666666666664,10.0,10.0,10.0,30.34,30.61,30.531666666666666,0.0,15.0,7.833333333333332,330.0,Fair
2,0,2015,1,11,22,42,32.32,28,66,49.6,10.0,10.0,10.0,30.49,30.67,30.584,0.0,9.0,4.92,170.0,Cloudy
3,0,2015,1,12,36,43,38.01724137931035,62,89,83.41379310344827,0.75,10.0,4.043103448275862,30.11,30.48,30.241206896551727,0.0,8.0,3.9137931034482767,180.0,Light Rain
4,0,2015,1,13,29,41,35.357142857142854,37,81,54.03571428571429,9.0,10.0,9.964285714285714,30.27,30.56,30.457142857142852,7.0,20.0,12.071428571428573,20.0,Cloudy
5,0,2015,1,14,27,34,30.235294117647058,47,75,63.58823529411765,3.0,10.0,8.588235294117647,30.22,30.49,30.330294117647057,3.0,12.0,8.030303030303031,350.0,Cloudy
6,0,2015,1,15,32,41,35.230769230769226,47,82,61.19230769230769,9.0,10.0,9.961538461538463,30.01,30.21,30.12076923076923,0.0,10.0,6.0,330.0,Cloudy
7,0,2015,1,16,28,48,37.958333333333336,37,85,57.20833333333334,7.0,10.0,9.208333333333334,29.95,30.26,30.04041666666667,0.0,22.0,9.833333333333334,290.0,Fair
8,0,2015,1,17,29,39,33.916666666666664,41,72,49.45833333333334,10.0,10.0,10.0,30.16,30.42,30.30375,0.0,18.0,8.791666666666666,180.0,Fair
9,0,2015,1,18,35,45,40.44186046511628,58,87,78.34883720930233,1.0,10.0,5.255813953488372,29.73,30.16,29.876046511627894,0.0,14.0,3.651162790697674,190.0,Fog
10,0,2015,1,19,34,49,42.41666666666666,34,75,53.75,10.0,10.0,10.0,29.86,30.0,29.942916666666665,0.0,13.0,6.291666666666668,290.0,Cloudy
12,0,2015,1,20,31,49,39.04166666666666,42,82,65.5,10.0,10.0,10.0,29.89,30.05,29.95125,0.0,7.0,2.0,360.0,Cloudy
13,0,2015,1,21,34,39,36.1578947368421,61,89,77.47368421052632,0.5,10.0,4.565789473684211,30.06,30.16,30.111842105263168,0.0,9.0,3.7894736842105265,40.0,Cloudy
14,0,2015,1,22,36,48,40.555555555555564,41,87,65.5925925925926,2.0,10.0,6.925925925925926,30.18,30.38,30.277037037037033,3.0,22.0,8.25925925925926,210.0,Cloudy
15,0,2015,1,23,32,42,37.35,51,87,72.725,2.0,10.0,6.9,29.84,30.38,30.13925,0.0,10.0,5.625,190.0,Cloudy
16,0,2015,1,24,37,44,38.61702127659574,43,87,76.8936170212766,1.0,10.0,5.74468085106383,29.45,29.84,29.609574468085107,0.0,17.0,8.957446808510639,340.0,Cloudy
17,0,2015,1,25,38,51,45.24,43,65,53.8,10.0,10.0,10.0,29.69,29.85,29.8064,0.0,14.0,6.36,180.0,Cloudy
18,0,2015,1,26,29,45,35.64444444444445,60,83,77.17777777777778,2.0,10.0,6.044444444444443,29.69,29.82,29.75422222222223,5.0,20.0,13.4,60.0,Light Snow
19,0,2015,1,27,30,36,33.135135135135144,51,79,62.1081081081081,4.0,10.0,8.864864864864865,29.73,29.97,29.808378378378386,12.0,21.0,15.486486486486484,330.0,Mostly Cloudy
20,0,2015,1,28,25,38,31.0,28,54,38.708333333333336,10.0,10.0,10.0,29.99,30.34,30.20291666666667,6.0,20.0,13.541666666666664,330.0,Fair
21,0,2015,1,29,27,39,33.857142857142854,32,67,49.214285714285715,7.0,10.0,9.678571428571429,29.9,30.33,30.160714285714285,0.0,13.0,6.0357142857142865,190.0,Cloudy
23,0,2015,1,30,23,43,37.064516129032256,30,70,48.838709677419345,2.0,10.0,8.806451612903226,29.91,30.26,30.05258064516129,0.0,29.0,16.466666666666665,320.0,Mostly Cloudy
24,0,2015,1,31,21,35,27.75,29,61,41.375,10.0,10.0,10.0,30.26,30.35,30.290000000000006,0.0,18.0,9.666666666666666,320.0,Fair
123,0,2015,2,1,27,42,35.96153846153846,35,76,54.5,6.0,10.0,9.692307692307693,29.8,30.28,30.123461538461534,0.0,8.0,3.9615384615384617,180.0,Cloudy
