,Unnamed: 0,year,month,day,min_temp,max_temp,avg_temp,min_humidity,max_humidity,avg_humidity,min_uv_vis,max_uv_vis,avg_uv_vis,min_pressure,max_pressure,avg_pressure,min_wind_spd,max_wind_spd,avg_wind_spd,mode_wind_dir,mode_sky_desc
0,0,2015,1,1,28.0,40.0,34.416666666666664,30.0,57.0,40.5,10.0,10.0,10.0,30.0,30.2,30.09,10.0,26.0,17.416666666666668,240.0,Fair
11,0,2015,1,2,35.0,44.0,39.375,32.0,59.0,43.58333333333334,10.0,10.0,10.0,30.03,30.46,30.23458333333333,7.0,21.0,13.708333333333336,280.0,Mostly Cloudy
22,0,2015,1,3,30.0,46.0,38.55172413793103,48.0,93.0,73.0344827586207,1.0,10.0,6.724137931034483,30.08,30.6,30.43068965517241,0.0,16.0,9.379310344827584,90.0,Mostly Cloudy
25,0,2015,1,4,44.0,54.0,49.342105263157904,59.0,97.0,89.13157894736842,0.12,10.0,6.10842105263158,29.67,30.03,29.81894736842105,0.0,26.0,9.263157894736842,190.0,Light Rain
26,0,2015,1,5,23.0,49.0,36.458333333333336,24.0,51.0,36.66666666666666,10.0,10.0,10.0,29.81,30.42,30.130416666666665,10.0,29.0,19.70833333333333,270.0,Partly Cloudy / Windy
27,0,2015,1,6,19.0,22.0,20.823529411764707,34.0,80.0,63.67647058823529,0.5,10.0,6.220588235294117,30.03,30.43,30.24882352941177,0.0,20.0,7.529411764705883,280.0,Light Snow
28,0,2015,1,7,10.0,25.0,19.625,32.0,71.0,47.16666666666666,10.0,10.0,10.0,29.93,30.28,30.047083333333337,10.0,35.0,21.5,260.0,Partly Cloudy / Windy
29,0,2015,1,8,9.0,22.0,15.708333333333336,38.0,50.0,44.04166666666666,10.0,10.0,10.0,30.25,30.45,30.35875,12.0,28.0,17.291666666666668,290.0,Fair
30,0,2015,1,9,22.0,33.0,27.96551724137931,37.0,86.0,51.75862068965517,0.5,10.0,8.198275862068966,29.99,30.22,30.08137931034483,9.0,29.0,20.655172413793107,280.0,Partly Cloudy
1,0,2015,1,10,18.0,24.0,20.5,34.0,47.0,41.41666666666666,10.0,10.0,10.0,30.25,30.6,30.452916666666663,12.0,21.0,16.583333333333332,300.0,Fair
2,0,2015,1,11,20.0,37.0,29.66666666666667,37.0,55.0,44.95833333333334,10.0,10.0,10.0,30.5,30.7,30.60541666666667,5.0,20.0,10.958333333333336,220.0,Mostly Cloudy
3,0,2015,1,12,34.0,40.0,36.833333333333336,52.0,93.0,78.47222222222223,1.0,10.0,5.861111111111112,30.11,30.49,30.25166666666667,0.0,14.0,5.527777777777778,220.0,Light Rain
4,0,2015,1,13,19.0,37.0,27.41666666666667,37.0,79.0,54.20833333333334,10.0,10.0,10.0,30.24,30.63,30.50916666666667,8.0,23.0,15.25,360.0,Partly Cloudy
5,0,2015,1,14,20.0,33.0,27.384615384615387,60.0,71.0,64.5,10.0,10.0,10.0,30.18,30.57,30.361538461538462,7.0,16.0,11.807692307692307,30.0,Cloudy
