,Unnamed: 0,year,month,day,min_temp,max_temp,avg_temp,min_humidity,max_humidity,avg_humidity,min_uv_vis,max_uv_vis,avg_uv_vis,min_pressure,max_pressure,avg_pressure,min_wind_spd,max_wind_spd,avg_wind_spd,mode_wind_dir,mode_sky_desc
0,0,2015,1,1,28,38,33.25,29,46,38.208333333333336,10.0,10.0,10.0,29.96,30.17,30.0575,8.0,18.0,14.0,230.0,Fair
11,0,2015,1,2,35,42,38.625,38,59,43.125,10.0,10.0,10.0,30.0,30.44,30.20833333333333,7.0,20.0,13.583333333333336,260.0,Partly Cloudy
22,0,2015,1,3,32,41,35.512820512820504,52,100,80.7948717948718,0.75,10.0,4.134615384615385,30.07,30.58,30.411538461538463,5.0,14.0,10.205128205128204,50.0,Light Rain
25,0,2015,1,4,41,56,47.375,44,100,89.475,0.25,10.0,5.66875,29.64,30.05,29.83375,0.0,24.0,9.425,220.0,Light Rain
26,0,2015,1,5,22,49,35.333333333333336,29,52,40.29166666666666,10.0,10.0,10.0,29.77,30.39,30.1075,13.0,28.0,20.95833333333333,280.0,Partly Cloudy / Windy
27,0,2015,1,6,18,22,20.08823529411765,42,81,66.0,0.5,10.0,5.735294117647059,30.0,30.41,30.22588235294117,0.0,15.0,7.647058823529411,230.0,Light Snow
28,0,2015,1,7,10,25,19.346153846153847,35,74,53.53846153846154,2.0,10.0,9.346153846153848,29.9,30.26,30.02230769230769,9.0,30.0,20.153846153846157,310.0,Partly Cloudy / Windy
29,0,2015,1,8,8,20,14.666666666666664,40,54,46.91666666666666,10.0,10.0,10.0,30.2,30.42,30.32791666666667,9.0,22.0,14.458333333333336,260.0,Fair
30,0,2015,1,9,20,32,25.9,37,93,56.4,0.25,10.0,7.408333333333332,29.97,30.19,30.05133333333333,10.0,22.0,15.7,260.0,Partly Cloudy
1,0,2015,1,10,17,23,19.916666666666668,34,50,42.375,10.0,10.0,10.0,30.22,30.57,30.42833333333333,9.0,21.0,14.166666666666664,290.0,Fair
2,0,2015,1,11,19,36,28.83333333333333,33,50,38.958333333333336,10.0,10.0,10.0,30.47,30.67,30.575000000000006,0.0,14.0,8.75,220.0,Mostly Cloudy
3,0,2015,1,12,34,39,36.53846153846154,43,96,80.64102564102564,1.0,10.0,6.0256410256410255,30.09,30.46,30.212564102564112,0.0,13.0,5.717948717948718,220.0,Light Rain
4,0,2015,1,13,17,36,26.0,46,76,60.30769230769231,10.0,10.0,10.0,30.22,30.62,30.47961538461539,7.0,22.0,14.0,10.0,Partly Cloudy
5,0,2015,1,14,17,31,24.78787878787879,56,72,66.48484848484848,10.0,10.0,10.0,30.16,30.56,30.356060606060602,5.0,16.0,10.242424242424242,40.0,Cloudy
6,0,2015,1,15,26,34,30.125,44,72,58.66666666666666,10.0,10.0,10.0,29.89,30.16,30.044166666666666,5.0,16.0,9.625,250.0,Fair
7,0,2015,1,16,20,42,31.70833333333333,37,52,47.375,10.0,10.0,10.0,29.78,30.21,29.92083333333333,9.0,32.0,18.291666666666668,320.0,Fair
8,0,2015,1,17,17,30,23.75,27,64,49.75,10.0,10.0,10.0,30.21,30.38,30.31041666666667,3.0,18.0,10.0,320.0,Fair
9,0,2015,1,18,30,42,35.76086956521739,66,100,90.58695652173913,0.5,10.0,4.483695652173913,29.68,30.2,29.89152173913044,0.0,16.0,5.239130434782608,50.0,Rain
10,0,2015,1,19,37,41,38.875,45,79,60.16666666666666,10.0,10.0,10.0,29.7,29.86,29.79166666666667,9.0,24.0,15.125,260.0,Cloudy
12,0,2015,1,20,32,39,36.208333333333336,40,61,51.75,10.0,10.0,10.0,29.84,30.03,29.91,5.0,16.0,11.0,320.0,Cloudy
13,0,2015,1,21,25,34,30.16666666666667,32,55,43.29166666666666,10.0,10.0,10.0,30.04,30.17,30.11791666666667,3.0,10.0,6.916666666666668,50.0,Cloudy
14,0,2015,1,22,30,39,33.464285714285715,50,76,60.32142857142857,7.0,10.0,9.821428571428571,30.13,30.31,30.20392857142857,0.0,20.0,7.7142857142857135,320.0,Cloudy
15,0,2015,1,23,28,38,33.458333333333336,43,65,55.33333333333334,8.0,10.0,9.791666666666666,29.97,30.33,30.190416666666664,3.0,21.0,9.875,310.0,Fair
16,0,2015,1,24,32,39,34.369565217391305,55,100,86.82608695652173,0.25,10.0,3.2119565217391304,29.26,29.93,29.584565217391308,0.0,22.0,10.08695652173913,40.0,Light Snow
17,0,2015,1,25,30,41,36.5,32,67,50.41666666666666,8.0,10.0,9.916666666666666,29.48,29.98,29.74416666666667,8.0,18.0,13.583333333333336,240.0,Mostly Cloudy
18,0,2015,1,26,21,28,24.783783783783782,43,92,77.48648648648648,0.25,10.0,3.027027027027027,29.67,30.01,29.86810810810811,8.0,29.0,18.297297297297302,50.0,Light Snow / Windy
19,0,2015,1,27,19,27,23.56410256410257,60,93,76.25641025641026,0.25,10.0,5.237179487179487,29.62,29.83,29.667692307692302,10.0,25.0,16.153846153846153,350.0,Cloudy
20,0,2015,1,28,18,33,24.875,35,68,46.25,10.0,10.0,10.0,29.84,30.25,30.0475,7.0,18.0,12.458333333333336,310.0,Fair
21,0,2015,1,29,21,35,28.42857142857143,37,85,59.464285714285715,1.0,10.0,9.285714285714286,29.98,30.32,30.172857142857147,0.0,12.0,7.107142857142858,160.0,Cloudy
23,0,2015,1,30,20,37,31.5,50,93,69.73333333333333,1.0,10.0,7.3,29.8,29.99,29.87666666666667,5.0,32.0,16.2,310.0,Light Snow
24,0,2015,1,31,14,26,20.08333333333333,34,60,49.83333333333334,10.0,10.0,10.0,30.0,30.19,30.101250000000004,9.0,33.0,21.45833333333333,310.0,Fair / Windy
123,0,2015,2,1,21,35,30.57142857142857,50,93,62.28571428571429,1.0,10.0,7.75,29.98,30.21,30.11678571428572,0.0,12.0,7.392857142857142,280.0,Mostly Cloudy
134,0,2015,2,2,16,34,26.822222222222226,62,100,84.95555555555555,0.25,10.0,3.733333333333333,29.38,29.95,29.58511111111111,7.0,29.0,15.155555555555555,330.0,Light Snow
144,0,2015,2,3,15,28,20.70833333333333,47,68,57.70833333333334,10.0,10.0,10.0,29.97,30.3,30.202916666666663,3.0,23.0,11.791666666666664,310.0,Fair
145,0,2015,2,4,24,41,33.583333333333336,55,73,63.29166666666666,9.0,10.0,9.875,29.9,30.31,30.125,3.0,13.0,6.208333333333332,210.0,Cloudy
146,0,2015,2,5,14,39,28.035714285714285,37,82,57.39285714285714,1.0,10.0,8.928571428571429,29.81,30.21,29.986428571428576,0.0,28.0,17.892857142857142,330.0,Cloudy
147,0,2015,2,6,13,27,20.33333333333333,36,59,46.625,10.0,10.0,10.0,30.08,30.26,30.17333333333333,7.0,21.0,12.416666666666664,310.0,Partly Cloudy
148,0,2015,2,7,26,36,30.068965517241377,47,88,64.41379310344827,1.0,10.0,7.275862068965517,29.97,30.15,30.07206896551725,3.0,15.0,7.931034482758621,260.0,Cloudy
149,0,2015,2,8,31,36,33.78125,75,95,86.78125,2.0,10.0,4.6875,29.84,29.96,29.902500000000003,6.0,21.0,13.28125,40.0,Cloudy
