,Unnamed: 0,year,month,day,min_temp,max_temp,avg_temp,min_humidity,max_humidity,avg_humidity,min_uv_vis,max_uv_vis,avg_uv_vis,min_pressure,max_pressure,avg_pressure,min_wind_spd,max_wind_spd,avg_wind_spd,mode_wind_dir,mode_sky_desc
0,0,2015,1,1,14.0,31.0,22.54166666666667,50.0,72.0,59.0,10.0,10.0,10.0,29.25,29.41,29.32375,7.0,21.0,14.541666666666664,240.0,Fair
11,0,2015,1,2,18.0,34.0,26.41666666666667,48.0,85.0,70.41666666666667,10.0,10.0,10.0,29.41,29.59,29.505,0.0,9.0,4.75,140.0,Cloudy
22,0,2015,1,3,29.0,34.0,32.2,67.0,100.0,92.07272727272728,1.0,10.0,2.9272727272727272,29.05,29.43,29.1950909090909,0.0,9.0,5.2727272727272725,130.0,Light Rain
25,0,2015,1,4,2.0,33.0,23.614035087719298,59.0,96.0,82.42105263157895,0.5,10.0,3.653508771929825,28.99,29.75,29.27771929824561,6.0,25.0,15.719298245614036,310.0,Light Snow
26,0,2015,1,5,-3.0,7.0,2.805555555555556,60.0,87.0,73.16666666666667,0.75,10.0,5.8680555555555545,29.62,29.9,29.744444444444447,0.0,17.0,8.444444444444445,270.0,Light Snow
27,0,2015,1,6,-4.0,10.0,5.612903225806452,67.0,91.0,75.54838709677419,2.0,10.0,8.290322580645162,29.52,29.65,29.578387096774193,0.0,23.0,11.387096774193546,280.0,Light Snow
28,0,2015,1,7,-5.0,5.0,-0.08333333333333333,52.0,66.0,58.70833333333334,10.0,10.0,10.0,29.6,30.04,29.885,10.0,25.0,17.375,320.0,Fair
29,0,2015,1,8,-8.0,18.0,7.828125,66.0,85.0,75.9375,0.25,10.0,2.98046875,29.06,29.86,29.24953125,9.0,28.0,19.5,220.0,Light Snow / Windy
30,0,2015,1,9,1.0,11.0,5.3125,52.0,80.0,65.90625,2.0,10.0,8.3125,29.22,29.68,29.4846875,8.0,24.0,17.125,280.0,Partly Cloudy
1,0,2015,1,10,-2.0,24.0,10.583333333333334,56.0,83.0,67.20833333333333,10.0,10.0,10.0,29.52,29.68,29.6125,7.0,22.0,11.875,200.0,Cloudy
2,0,2015,1,11,23.0,32.0,27.767441860465123,54.0,96.0,79.88372093023256,0.5,10.0,4.377906976744186,29.49,29.54,29.5193023255814,3.0,17.0,7.72093023255814,200.0,Light Snow
3,0,2015,1,12,15.0,28.0,20.37142857142857,54.0,93.0,72.82857142857142,1.0,10.0,8.4,29.51,29.92,29.715714285714284,3.0,17.0,12.17142857142857,350.0,Cloudy
4,0,2015,1,13,6.0,19.0,15.766666666666667,65.0,92.0,72.76666666666667,2.0,10.0,8.4,29.72,29.98,29.89533333333333,0.0,14.0,8.033333333333333,60.0,Light Snow
5,0,2015,1,14,3.0,19.0,12.36,68.0,92.0,79.48,6.0,10.0,9.32,29.46,29.68,29.5804,0.0,10.0,6.4,220.0,Cloudy
6,0,2015,1,15,17.0,34.0,24.615384615384613,61.0,85.0,74.73076923076924,9.0,10.0,9.884615384615383,29.23,29.45,29.320384615384608,6.0,16.0,9.961538461538463,240.0,Fair
7,0,2015,1,16,23.0,33.0,28.740740740740737,66.0,88.0,78.14814814814815,8.0,10.0,9.703703703703702,29.27,29.47,29.38481481481481,0.0,15.0,8.333333333333334,100.0,Mostly Cloudy
8,0,2015,1,17,26.0,42.0,37.346153846153854,62.0,85.0,73.26923076923076,7.0,10.0,9.615384615384617,28.88,29.23,28.978461538461538,9.0,24.0,15.461538461538463,250.0,Cloudy
9,0,2015,1,18,28.0,40.0,35.0,63.0,89.0,77.7741935483871,1.0,10.0,9.64516129032258,28.93,29.27,29.088,5.0,16.0,11.366666666666667,270.0,Partly Cloudy
10,0,2015,1,19,25.0,40.0,32.458333333333336,63.0,96.0,82.0,9.0,10.0,9.958333333333334,29.15,29.3,29.246250000000003,0.0,10.0,5.375,80.0,Cloudy
12,0,2015,1,20,30.0,36.0,32.766666666666666,85.0,92.0,89.2,3.0,10.0,7.066666666666666,29.1,29.28,29.195999999999994,0.0,16.0,7.8,20.0,Cloudy
13,0,2015,1,21,29.0,32.0,30.714285714285715,69.0,96.0,83.28571428571429,7.0,10.0,9.071428571428571,29.25,29.54,29.354999999999997,5.0,13.0,8.0,20.0,Cloudy
14,0,2015,1,22,28.0,31.0,29.73333333333333,72.0,80.0,75.3,8.0,10.0,9.933333333333334,29.54,29.7,29.63733333333333,0.0,13.0,6.666666666666668,250.0,Cloudy
15,0,2015,1,23,29.0,31.0,29.57692307692308,72.0,82.0,76.84615384615384,9.0,10.0,9.846153846153848,29.09,29.61,29.37384615384616,7.0,15.0,11.538461538461537,240.0,Cloudy
16,0,2015,1,24,29.0,41.0,33.57575757575758,65.0,88.0,80.45454545454545,9.0,10.0,9.93939393939394,28.91,29.06,28.97636363636364,0.0,15.0,7.878787878787879,250.0,Cloudy
17,0,2015,1,25,24.0,34.0,29.2051282051282,66.0,93.0,83.1025641025641,1.0,10.0,5.538461538461538,28.95,29.27,29.099743589743596,5.0,22.0,15.256410256410255,40.0,Light Snow
18,0,2015,1,26,16.0,26.0,24.075,69.0,96.0,83.7,2.0,10.0,5.85,29.14,29.27,29.193,0.0,12.0,5.775,170.0,Light Snow
19,0,2015,1,27,21.0,31.0,27.181818181818183,56.0,92.0,77.45454545454545,5.0,10.0,8.515151515151516,29.21,29.54,29.39030303030303,0.0,10.0,6.212121212121213,50.0,Cloudy
20,0,2015,1,28,20.0,34.0,28.29166666666667,51.0,85.0,68.95833333333333,10.0,10.0,10.0,29.09,29.56,29.3975,0.0,20.0,11.0,170.0,Cloudy
21,0,2015,1,29,29.0,35.0,33.19444444444444,54.0,88.0,74.97222222222223,1.0,10.0,7.972222222222222,28.97,29.59,29.218055555555548,5.0,23.0,14.5,330.0,Cloudy
23,0,2015,1,30,20.0,28.0,23.91666666666667,43.0,74.0,55.58333333333334,10.0,10.0,10.0,29.62,29.79,29.70666666666667,0.0,16.0,7.333333333333332,350.0,Fair
24,0,2015,1,31,21.0,36.0,30.580645161290327,61.0,96.0,76.90322580645163,0.75,10.0,7.137096774193548,29.42,29.59,29.468709677419344,0.0,13.0,6.516129032258066,70.0,Cloudy
123,0,2015,2,1,19.0,31.0,24.681818181818183,88.0,96.0,92.79545454545456,0.12,1.0,0.474090909090909,29.04,29.4,29.14909090909092,6.0,25.0,18.727272727272727,40.0,Snow
134,0,2015,2,2,6.0,17.0,10.862068965517242,54.0,88.0,74.13793103448276,0.75,10.0,6.810344827586207,29.2,29.49,29.39344827586207,7.0,22.0,13.79310344827586,320.0,Light Snow
144,0,2015,2,3,6.0,26.0,19.953488372093023,68.0,92.0,82.97674418604652,0.25,10.0,5.947674418604652,29.27,29.44,29.349302325581395,0.0,13.0,5.209302325581397,210.0,Cloudy
145,0,2015,2,4,4.0,25.0,18.44186046511628,61.0,92.0,78.6046511627907,1.0,10.0,5.674418604651162,29.26,29.66,29.399767441860472,5.0,15.0,10.27906976744186,330.0,Cloudy
