,Unnamed: 0,year,month,day,min_temp,max_temp,avg_temp,min_humidity,max_humidity,avg_humidity,min_uv_vis,max_uv_vis,avg_uv_vis,min_pressure,max_pressure,avg_pressure,min_wind_spd,max_wind_spd,avg_wind_spd,mode_wind_dir,mode_sky_desc
0,0,2015,1,1,29,42,35.166666666666664,29.0,64.0,42.66666666666666,10.0,10.0,10.0,30.03,30.22,30.12166666666667,6.0,26.0,15.708333333333336,240.0,Fair
11,0,2015,1,2,30,43,37.125,37.0,69.0,51.04166666666666,10.0,10.0,10.0,30.07,30.44,30.267916666666665,0.0,13.0,8.208333333333334,280.0,Mostly Cloudy
22,0,2015,1,3,28,43,37.333333333333336,60.0,100.0,84.15686274509805,1.0,10.0,4.411764705882354,30.05,30.56,30.397647058823523,0.0,10.0,5.882352941176472,60.0,Light Rain
25,0,2015,1,4,42,57,47.385964912280706,50.0,100.0,92.33333333333331,0.12,10.0,5.532631578947369,29.69,30.03,29.896140350877193,0.0,23.0,10.087719298245617,230.0,Cloudy
26,0,2015,1,5,24,48,36.125,24.0,52.0,37.708333333333336,10.0,10.0,10.0,29.9,30.45,30.2175,12.0,29.0,18.125,290.0,Mostly Cloudy
27,0,2015,1,6,18,24,21.43636363636364,35.0,88.0,74.76363636363638,0.5,10.0,4.377272727272727,30.09,30.45,30.26818181818181,0.0,10.0,5.127272727272726,180.0,Light Snow
28,0,2015,1,7,13,23,20.107142857142858,33.0,88.0,56.32142857142857,6.0,10.0,9.178571428571429,29.97,30.37,30.108214285714286,3.0,25.0,16.285714285714285,300.0,Partly Cloudy
29,0,2015,1,8,10,21,15.0,37.0,56.0,46.5,10.0,10.0,10.0,30.23,30.52,30.41416666666667,8.0,17.0,12.875,260.0,Fair
30,0,2015,1,9,23,36,28.57142857142857,35.0,58.0,44.82142857142857,6.0,10.0,9.571428571428571,30.02,30.28,30.10642857142857,7.0,29.0,15.642857142857142,230.0,Cloudy
1,0,2015,1,10,16,24,19.24,33.0,54.0,40.12,10.0,10.0,10.0,30.31,30.63,30.5172,0.0,17.0,11.16,290.0,Fair
2,0,2015,1,11,15,39,28.41666666666667,34.0,74.0,53.875,10.0,10.0,10.0,30.5,30.7,30.610416666666666,0.0,14.0,6.958333333333332,190.0,Mostly Cloudy
3,0,2015,1,12,33,38,35.666666666666664,52.0,97.0,86.14035087719299,1.0,10.0,5.087719298245614,30.13,30.49,30.2780701754386,0.0,10.0,5.2105263157894735,200.0,Light Rain
4,0,2015,1,13,21,37,30.037037037037038,38.0,76.0,54.22222222222222,10.0,10.0,10.0,30.26,30.6,30.48481481481481,8.0,22.0,12.666666666666664,350.0,Cloudy
5,0,2015,1,14,20,32,26.387096774193548,53.0,66.0,61.483870967741936,10.0,10.0,10.0,30.2,30.55,30.35612903225807,5.0,16.0,10.064516129032258,40.0,Cloudy
6,0,2015,1,15,30,35,31.66666666666667,46.0,75.0,62.0,7.0,10.0,9.545454545454543,29.98,30.19,30.09969696969697,3.0,14.0,7.545454545454546,290.0,Cloudy
7,0,2015,1,16,25,43,33.4,37.0,85.0,57.48,7.0,10.0,9.52,29.9,30.27,29.9932,8.0,25.0,14.88,230.0,Fair
8,0,2015,1,17,19,33,25.5,26.0,72.0,44.41666666666666,10.0,10.0,10.0,30.22,30.44,30.34125,0.0,16.0,7.375,170.0,Fair
9,0,2015,1,18,24,43,35.38181818181818,75.0,100.0,90.01818181818182,0.75,10.0,4.627272727272726,29.72,30.2,29.91545454545454,0.0,12.0,5.509090909090909,30.0,Heavy Rain
10,0,2015,1,19,31,45,37.793103448275865,42.0,92.0,68.93103448275862,3.0,10.0,8.344827586206897,29.82,29.94,29.884482758620692,6.0,20.0,11.172413793103447,260.0,Cloudy
12,0,2015,1,20,30,45,37.115384615384606,49.0,89.0,70.19230769230771,5.0,10.0,9.038461538461537,29.9,30.07,29.96384615384616,0.0,12.0,6.538461538461537,250.0,Cloudy
13,0,2015,1,21,29,33,30.80851063829787,46.0,89.0,73.80851063829788,0.75,10.0,6.143617021276596,30.07,30.17,30.13276595744682,0.0,10.0,5.543478260869565,50.0,Light Snow
14,0,2015,1,22,30,40,34.46511627906977,65.0,89.0,79.30232558139534,0.75,10.0,5.598837209302325,30.17,30.35,30.247441860465113,0.0,13.0,6.837209302325581,300.0,Cloudy
15,0,2015,1,23,26,41,33.774193548387096,49.0,96.0,74.64516129032258,1.0,10.0,7.258064516129032,29.94,30.38,30.180967741935483,0.0,10.0,4.838709677419356,190.0,Light Snow
16,0,2015,1,24,33,39,34.67272727272727,62.0,96.0,89.0909090909091,0.25,10.0,4.177272727272728,29.33,29.93,29.61272727272727,5.0,17.0,10.21818181818182,40.0,Cloudy
17,0,2015,1,25,34,46,38.72413793103448,51.0,83.0,68.6206896551724,6.0,10.0,9.689655172413792,29.61,29.95,29.824482758620697,5.0,18.0,11.344827586206893,270.0,Cloudy
18,0,2015,1,26,27,34,29.060606060606066,69.0,85.0,77.92424242424242,1.0,10.0,6.333333333333332,29.7,29.96,29.83575757575757,10.0,25.0,17.37878787878788,40.0,Light Snow
19,0,2015,1,27,22,34,27.469387755102037,37.0,85.0,69.36734693877551,1.0,10.0,6.183673469387755,29.68,29.92,29.739387755102037,10.0,22.0,15.224489795918366,330.0,Light Snow
20,0,2015,1,28,20,34,26.70833333333333,25.0,55.0,35.833333333333336,10.0,10.0,10.0,29.93,30.3,30.133750000000006,6.0,21.0,13.125,310.0,Fair
21,0,2015,1,29,22,34,30.214285714285715,32.0,66.0,47.07142857142857,8.0,10.0,9.821428571428571,29.96,30.34,30.181428571428572,0.0,12.0,6.428571428571429,180.0,Cloudy
23,0,2015,1,30,20,40,34.275,38.0,82.0,60.25,0.75,10.0,9.01875,29.87,30.15,29.95725,0.0,30.0,17.725,300.0,Light Snow
24,0,2015,1,31,15,29,21.66666666666667,33.0,58.0,42.583333333333336,10.0,10.0,10.0,30.15,30.27,30.22125,8.0,23.0,16.166666666666668,310.0,Fair
123,0,2015,2,1,22,39,32.516129032258064,52.0,92.0,63.354838709677416,1.0,10.0,8.0,29.91,30.27,30.12483870967743,0.0,12.0,6.516129032258066,140.0,Cloudy
