,Unnamed: 0,year,month,day,min_temp,max_temp,avg_temp,min_humidity,max_humidity,avg_humidity,min_uv_vis,max_uv_vis,avg_uv_vis,min_pressure,max_pressure,avg_pressure,min_wind_spd,max_wind_spd,avg_wind_spd,mode_wind_dir,mode_sky_desc
0,0,2015,1,1,40.0,54.0,49.33333333333334,40.0,73.0,50.04166666666666,10.0,10.0,10.0,30.07,30.16,30.11916666666667,0.0,17.0,8.625,50.0,Fair
11,0,2015,1,2,38.0,52.0,45.36,52.0,86.0,69.2,6.0,10.0,9.68,30.11,30.22,30.166,0.0,5.0,1.56,190.0,Fair
22,0,2015,1,3,39.0,53.0,45.95833333333334,59.0,89.0,76.66666666666667,7.0,10.0,9.0,30.18,30.31,30.24458333333333,0.0,7.0,1.4583333333333333,160.0,Fair
25,0,2015,1,4,42.0,54.0,48.04166666666666,61.0,96.0,78.58333333333333,6.0,9.0,7.416666666666668,30.31,30.42,30.36583333333333,0.0,9.0,1.875,160.0,Fair
26,0,2015,1,5,44.0,59.0,50.66666666666666,53.0,97.0,74.29166666666667,8.0,10.0,9.25,30.22,30.38,30.305000000000003,0.0,6.0,2.2916666666666665,100.0,Fair
27,0,2015,1,6,45.0,59.0,52.375,55.0,90.0,74.04166666666667,8.0,10.0,9.125,30.16,30.27,30.20625,0.0,6.0,1.9583333333333333,10.0,Fair
28,0,2015,1,7,45.0,59.0,53.04166666666666,60.0,93.0,80.58333333333333,6.0,10.0,9.416666666666666,30.07,30.22,30.13541666666667,0.0,6.0,2.0,20.0,Fair
29,0,2015,1,8,49.0,58.0,53.66666666666666,67.0,97.0,83.625,4.0,10.0,7.833333333333332,30.0,30.09,30.035,0.0,5.0,0.7083333333333334,30.0,Mostly Cloudy
30,0,2015,1,9,51.0,62.0,54.88,72.0,100.0,90.32,6.0,10.0,8.2,29.95,30.02,29.9856,0.0,12.0,3.92,290.0,Mostly Cloudy
1,0,2015,1,10,50.0,60.0,53.82758620689656,78.0,100.0,95.75862068965515,3.0,10.0,8.172413793103447,29.94,30.03,29.985862068965517,0.0,12.0,4.724137931034483,280.0,Mostly Cloudy
2,0,2015,1,11,48.0,56.0,52.03125,84.0,100.0,94.6875,0.25,10.0,7.6953125,30.01,30.17,30.08,0.0,17.0,4.71875,80.0,Partly Cloudy
3,0,2015,1,12,48.0,61.0,52.16666666666666,75.0,100.0,97.16666666666669,0.12,10.0,7.124666666666667,30.18,30.27,30.213000000000008,0.0,17.0,3.333333333333333,280.0,Partly Cloudy
4,0,2015,1,13,47.0,63.0,52.82758620689656,48.0,100.0,83.24137931034483,0.0,10.0,7.370344827586208,30.11,30.21,30.164482758620693,0.0,5.0,1.0344827586206895,10.0,Fair
5,0,2015,1,14,44.0,58.0,52.25,72.0,90.0,82.08333333333333,5.0,10.0,8.458333333333334,30.15,30.28,30.20625,0.0,8.0,1.5833333333333333,60.0,Mostly Cloudy
